"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7551","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2635","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","7454","@smoke Verify user is able to land on the product page test imac-iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2679","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","6377","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1248","@smoke get user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","296","@smoke create user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","3338","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1965","@smoke DELETE - delete user","chromium","2026-06-29","passed","2026-06-29","","API/users.api.indi.spec.ts","",""
"","388","@smoke Update user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
